REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY, WEBSITE ADDRESS, FAX/TELEPHONE NO.
04 - CALABARZON,The Bearer of Light and Wisdom Colleges,Private,Cavite,Bacoor City,,(046) 871-3546; (046) 477-0695,
04 - CALABARZON,University of Batangas-Lipa,Private,Batangas,Lipa City,http://www.ub.edu.ph,(043) 723-1446 loc 806; (043) 723-4500; (043) 723-1446 loc 802,
04 - CALABARZON,West Point College-Magallanes,Private,Cavite,Magallanes,http://www.cavitewestpointcollege.com.ph,(046) 412-1865,
04 - CALABARZON,Young Ji College,Private,Cavite,General Trias,http://www.myyoungji.com,(046) 402-1779,
04 - CALABARZON,Southern Luzon State University-Catanauan,SUC Satellite,Quezon Province,Catanauan,http://www.slsu.edu.ph,,
04 - CALABARZON,ACLC College of Taytay,Private,Rizal,Taytay,http://usn.amaes.edu.ph,(02) 234-0425; (02) 234-5316,
04 - CALABARZON,College of Arts and Sciences of Asia and the Pacific,Private,Rizal,Taytay,http://casapcollege.blogspot.com/,(02) 212-5950,
04 - CALABARZON,New Sinai School and Colleges-Sta. Rosa,Private,Laguna,Sta. Rosa City,http://www.nssc.educ.ph,0916-7093948; (049) 508-7799; (02) 925-8046,
04 - CALABARZON,St. Mary Magdalene Colleges of Laguna,Private,Laguna,Calamba City,,(049) 576-1003; (049) 834-4488; 0917-6299659,
04 - CALABARZON,BWEST College,Private,Quezon Province,Lucena City,http://www.bwestcollege.edu.ph,(042) 710-3990,
04 - CALABARZON,Center for Biblical Studies Institute & Seminary,Private,Rizal,Antipolo City,http://www.cbsis.edu.ph,(02) 245-3128; (02) 219-3451,
04 - CALABARZON,Grain of Wheat College,Private,Rizal,Taytay,http://agowc.org/,(02) 401-0256,
04 - CALABARZON,ICT-ED Institute of Science and Technology,Private,Batangas,Lipa City,http://www.ict.edu.ph,(043) 757-4445; (043) 706-9853,
04 - CALABARZON,ICCT Colleges-Binangonan,Private,Rizal,Binangonan,http://www.icct.edu.ph,(02) 289-2232; (02) 249-1049; (02) 249-1050,
04 - CALABARZON,ICCT Colleges-Taytay,Private,Rizal,Taytay,http://www.icct.edu.ph,(02) 660-3616; (02) 286-0803; (02) 249-1049,
04 - CALABARZON,Mater Redemptoris Collegium,Private,Laguna,Calauan,,(049) 539-2141,
04 - CALABARZON,Mind and Integrity College,Private,Laguna,Calamba City,maicollege.net,(049) 531-1604,
04 - CALABARZON,College of Saint John Paul II Arts And Sciences,Private,Rizal,Cainta,http://www.csjpii.edu.ph,(02) 755-2803; (02) 655-2171,
04 - CALABARZON,St. Augustine School of Nursing-Lipa,Private,Batangas,Lipa City,http://www.sasn.edu.ph,(043) 702-4779; 0999-9541-734; 0905-7202415,
04 - CALABARZON,Paul College of Leadership,Private,Rizal,Cainta,http://www.pclgpm.com,(02) 477-5077; (02) 942-5463,
04 - CALABARZON,ACLC College of San Pablo,Private,Laguna,San Pablo City,http://www.ama.edu.ph,(049) 503-0256,
04 - CALABARZON,Citi Global College-Biñan,Private,Laguna,Biñan City,http://www.citiglobalcollege.edu.ph,(049) 834-3654,
04 - CALABARZON,Far East Asia Pacific Institute of Tourism Science and Technology,Private,Cavite,Tanza,http://www.feapitsatcolleges.com,(046) 431-8501; (046) 866-5650,
04 - CALABARZON,Guardian Bona Fide for Hope Foundation,Private,Laguna,Biñan City,,,
04 - CALABARZON,St. Augustine School of Nursing - Lucena,Private,Quezon Province,Lucena City,http://www.sasn.edu.ph,(042) 710-3909,
04 - CALABARZON,Nova Schola Tanauan,Private,Batangas,Tanauan City,,(043) 773-8927,
04 - CALABARZON,Daehan College of Business and Technology,Private,Rizal,TayTay,,,
04 - CALABARZON,Citi Global College-Cabuyao,Private,Laguna,Cabuyao City,http://www.citiglobalcollege.edu.ph,(049) 534-0068,
04 - CALABARZON,New Era University - Lipa Campus,Private,Batangas,Lipa City,neulipa@neu.edu.ph,043 757-1433,
04 - CALABARZON,Saint Joseph College of Rosario Batangas,Private,Batangas,Rosario,,(043) 321-0952,
04 - CALABARZON,CARD-MRI Development Institute,Private,Laguna,Bay,http://www.cardmri.com/cmdi,(049) 573-0031; (049) 536-7265,
04 - CALABARZON,Colegio de Sto. Domingo de Silos,Private,Batangas,Calatagan,,(043) 419-0878; 0918-9411664,
04 - CALABARZON,Our Lady of La Sallete College Seminary,Private,Cavite,Silang,,,
04 - CALABARZON,Antipolo Institute of Technology (AITECH) ,LUC,Rizal,Antipolo City,,(02) 689-4536; (02) 689-4517; 0917-5342133,
04 - CALABARZON,Marasigan Institute of Science and Technology (M.I.S.T.) ,Private,Cavite,Dasmariñas City,http://www.mist.edu.ph,(046) 423-9728,
04 - CALABARZON,Renaissance School of Science and Technology,Private,Rizal,Morong,,,
04 - CALABARZON,Tanauan City College,LUC,Batangas,Tanauan City,,(043) 702-6979; (043) 706-3934,
04 - CALABARZON,Grabsum School,Private,Quezon Province,Candelaria,,(042) 585-8723; (042) 585-9969,
04 - CALABARZON,Royal British College,Private,Batangas,Lipa City,,(043) 702-6794,
04 - CALABARZON,Sapphire International Aviation Academy,Private,Batangas,Tanauan City,http://sapphireaviationacademy.com,(043) 740-2202,
04 - CALABARZON,Southbay Montessori School and Colleges,Private,Laguna,Sta. Cruz,,(049) 523-6123,
04 - CALABARZON,St. Ignatius Technical Institute of Business and Arts,Private,Laguna,Sta. Rosa City,,(049) 534-0446,
04 - CALABARZON,Westbridge Institute of Technology,Private,Laguna,Cabuyao City,http://www.westbridge.edu.ph,(049) 544-1325,
04 - CALABARZON,AISAT College-Dasmariñas,Private,Cavite,Dasmariñas City,,(046) 432-0448,
04 - CALABARZON,Lyceum de San Pablo,Private,Laguna,San Pablo City,,,
04 - CALABARZON,MOL Magsaysay Maritime Academy,Private,Cavite,Dasmariñas City,mmma.com.ph,(046) 450-8901,
04 - CALABARZON,Southern Luzon College of Business Maritime Science and Technology,Private,Cavite,Dasmariñas City,,(046) 416-4166; (046) 416-4168,
04 - CALABARZON,One Cainta College,LUC,Rizal,Cainta,,,
04 - CALABARZON,Informatics College Cavite,Private,Cavite,Imus City,,,
04 - CALABARZON,New Era University-Baras Campus,Private,Rizal,Baras,,,
04 - CALABARZON,NU Sports Academy,Private,Laguna,Calamba City,,,
04 - CALABARZON,Olinsterg College,Private,Quezon Province,Tiaong,,,
04 - CALABARZON,Our Lady of Fatima University-Laguna,Private,Laguna,Sta. Rosa City,,,
04 - CALABARZON,Red Link Institute of Science & Technology,Private,Laguna,CAlamba,,,
04 - CALABARZON,Saint Peter's School (Calauag),Private,Laguna,Calauag,,,
04 - CALABARZON,CSTC College of Sciences Technology and Communications-Atimonan,Private,Quezon Province,Atimonan,cstc.atimonan91@gmail.com / cstc.edu.ph,042-373-7513 / 042-329-0850,
04 - CALABARZON,De La Salle-College of Saint Benilde-Antipolo,Private,Rizal,Antipolo City,registrar@antipolo.benilde.edu.ph / http://www.benilde.edu.ph/antipolo,8667-1300,
04 - CALABARZON,Saint Benilde International School-Calamba,Private,Laguna,City of Calamba,info@saintbenilde.edu.ph / http://www.saintbenilde.edu.ph,049 542 5139 / 049 502 7546,
04 - CALABARZON,St. Ignatius Technical Institute of Business and Arts-Cabuyao,Private,Laguna,Cabuyao,stignatiuscabuyao@outlook.com,(049) 561-6812/ (049) 534-0446,
04 - CALABARZON,St. Therese College of Arts and Sciences,Private,LAGUNA,PILA,stsas8educ@yahoo.com.ph,(049)559-0824,
04 - CALABARZON,Victory Elijah Christian College,Private,RIZAL,ANTIPOLO CITY,victoryelijahschool@gmail.com / https://victoryelijahchristiancollege.edu.ph,(02) 8470-1639 / (02) 8359-4109,
04 - CALABARZON,FCD Central Institute,Private,Cavite,Dasmarinas City,fcdcentral@gmail.com,046-5419763 / 09228333420,
04 - CALABARZON,Magna Anima Teachers College,Private,Laguna,Santa Rosa City,info@magna-anima.com.ph / http://magna-anima.com,049-543-5578,
04 - CALABARZON,St. John Bosco College of Tayabas,Private,Quezon Province,Tayabas City,stjohnboscoa@yahoo.com,042-797-3302,
04 - CALABARZON,Kolehiyo ng Lungsod ng Dasmariñas,LUC,Cavite,Dasmarinas City,dcamatog@kolehiyonglungsodngdasma.onmicrosoft.com/dennis.camatog@gmail.com,9166159521,
04 - CALABARZON,Colegio de La Ciudad de Tayabas,LUC,Quezon Province,Tayabas City,colegiodelaciudaddetayabas,042-717-3790,
04 - CALABARZON,First Industrial Science and Technology College,Private,Batangas,Sto. Tomas City,info@firstschool.edu.ph/https://firstschool.edu.ph/,,
04 - CALABARZON,Lyceum of Southern Luzon,Private,Batangas,Balayan,lyceumsouthernluzon2018@gmail.com,(63) 043-3320390,
04 - CALABARZON,NU Dasmariñas,Private,Cavite,Dasmariñas,registrar@dasma.nu.edu.ph/http://www.national-u.edu.ph,9399025920,
04 - CALABARZON,Philippine Technological Institute of Science Arts and Trade-Central,Private,Cavite,General Mariano Alvarez,,,
04 - CALABARZON,Samuel Christian College of General Trias,Private,Cavite,General Trias City,samuelchristiancollege@ymail.com / sccplanninganddevelopment@gmail.com / http://www.samuelchristiancollegegtc.com/,(046) 456 9955 / (046) 402 0725,
04 - CALABARZON,St. Peregrine Institute,Private,Cavite,Bacoor,stperegrineinstitute@yahoo.com / spi.ph,(046) 4342160 and (046)4345855,
04 - CALABARZON,CITI Global College-Calamba,Private,Laguna,Calamba,cgc.official@citiglobalcollege.edu.ph / http://www.citiglobalcollege.edu.ph,049-536-3173,
04 - CALABARZON,Manuel S. Enverga University Foundation-Calauag,Private,Quezon Province,Calauag,calauag@mseuf.edu.ph /http://www.mseuf.edu.ph,713-6450,
04 - CALABARZON,Eastern Star Academy,Private,Rizal,San Mateo,esa_1997@yahoo.com,284750972 / 286540662,
04 - CALABARZON,Batangas State University-Mabini,SUC Satellite,Batangas,Mabini,batstateupresident2@gmail.com / batstateu.pdo@gmail.com / http://ares.bastate-u.edu.ph,(043) 980-0385 (local 1142) / (043) 980-0385 (local 1546 or 1122),
04 - CALABARZON,Southern Luzon State University-Tayabas,SUC Satellite,Quezon Province,Tayabas City,slsutayabas@slsu.edu.ph/ http://www.slsu.edu.ph,63-42-540-4087 / 63-42-540-6635,
04 - CALABARZON,Asian Seminary of Christian Ministries,Private,Cavite,Silang,,,
04 - CALABARZON,Eulogio "Amang" Rodriguez Institute of Science and Technology-Cavite,SUC Satellite,Cavite,General Mariano Alvarez,,,
04 - CALABARZON,Polytechnic University of the Philippines-San Pedro,SUC Satellite,Laguna,San Pedro City,http://www.pup.edu.ph,(043) 869-9800; (043) 869-0059; (043) 478-0557,
04 - CALABARZON,Polytechnic University of the Philippines-Sta. Rosa,SUC Satellite,Laguna,Sta. Rosa City,http://www.pup.edu.ph,(049) 534-3590,
04 - CALABARZON,Polytechnic University of the Philippines-Calauan,SUC Satellite,Laguna,Calauan,http://www.pup.edu.ph,(049) 566-0623,
04 - CALABARZON,Polytechnic University of the Philippines-Biñan,SUC Satellite,Laguna,Biñan City,http://www.pup.edu.ph,(049) 513-5034 to 35; (049) 513-5038,
04 - CALABARZON,Polytechnic University of the Philippines-General Luna Quezon,SUC Satellite,Quezon Province,General Luna,http://www.pup.edu.ph,(042) 394-7081; (042)-294-7002; 0908-7529514,
04 - CALABARZON,Polytechnic University of the Philippines-Alfonso,SUC Satellite,Cavite,Alfonso,http://www.pup.edu.ph,,
04 - CALABARZON,Guang Ming College,Private,Cavite,Tagaytay City,http://www.guangmingcollege.edu.ph,(02) 523-4909; (02) 522-1475,
04 - CALABARZON,NU Lipa,Private,Laguna,Lipa City,,,
04 - CALABARZON,St. Ignatius Technical Institute of Business and Arts-Biñan,Private,Laguna,Biñan City,,,
04 - CALABARZON,Trent Information First Technical Career Institute,Private,Rizal,Taytay ,,,
04 - CALABARZON,Cavite Integrated College,Private,Cavite,Maragondon,,,
04 - CALABARZON,Angono Catholic College,Private,Rizal,Angono,,,
05 - Bicol Region,Aemilianum College,Private,Sorsogon,Sorsogon City,http://www.aemilianum.edu.com,(056) 211-6012,
05 - Bicol Region,Ago Medical and Educational Center,Private,Albay,Legazpi City,http://www.amecbccm.edu.ph,(052) 820-5877; (052) 481-1155; (052) 481-3777,
05 - Bicol Region,Bicol Christian College of Medicine,Private,Albay,Legazpi City,http://www.amecbccm.edu.ph,(052) 820-5877; (052) 481-1155; (052) 481-3777,
05 - Bicol Region,De Vera Institute of Technology,Private,Albay,Legazpi City,,(052) 820-1945,
05 - Bicol Region,Annunciation College of Bacon Sorsogon Unit,Private,Sorsogon,Sorsogon City,,(056) 211-0007,
05 - Bicol Region,University of Santo Tomas-Legazpi,Private,Albay,Legazpi City,http://www.ust-legazpi.edu.ph,(052) 482-0540,
05 - Bicol Region,Ateneo de Naga University,Private,Camarines Sur,Naga City,http://www.adnu.edu.ph,(054) 881-2368; (054) 473-9253; (054) 881-4102,
05 - Bicol Region,Bicol College,Private,Albay,Daraga,bicolcollege.edu.ph,(052) 483-0904; (052) 483-0801,
05 - Bicol Region,Bicol State College of Applied Sciences and Technology,SUC Main,Camarines Sur,Naga City,http://www.biscast.edu.ph,(054) 472-0414; (054) 472-0415,
05 - Bicol Region,Central Bicol State University of Agriculture-Sipocot,SUC Satellite,Camarines Sur,Sipocot,,(054) 256-6147; (054) 450-6108,
05 - Bicol Region,Bicol Merchant Marine College,Private,Sorsogon,Sorsogon City,,(056) 311-8263 (056) 311-8632; (056) 421-5948,
05 - Bicol Region,Bicol University-Main,SUC Main,Albay,Legazpi City,http://www.bicol-u.edu.ph,(052) 480-0179,
05 - Bicol Region,Bicol University-Daraga Campus,SUC Satellite,Albay,Daraga,bupms@isp.bicol-u.edu.ph,(052) 483-4335; 483-4360; (052) 483-4406; 483-4401; (052) 480-0167,
05 - Bicol Region,Bicol University-College of Agriculture and Forestry,SUC Satellite,Albay,Guinobatan,,(052) 484-6336,
05 - Bicol Region,Bicol University-Tabaco Campus,SUC Satellite,Albay,Tabaco City,,(052) 487-5247,
05 - Bicol Region,Camarines Norte College,Private,Camarines Norte,Labo,,(054) 585-2311; (054) 447-6130,
05 - Bicol Region,Camarines Norte State College-Main,SUC Main,Camarines Norte,Daet,http://www.cnsc.edu.ph,(054) 440-1199,
05 - Bicol Region,City College of Naga,LUC,Camarines Sur,Naga City,,(054) 205-2980 local 3180,
05 - Bicol Region,Camarines Sur Polytechnic Colleges,SUC Main,Camarines Sur,Nabua,http://cspc.edu.ph/index.php,(054) 288-4422 to 25; (054) 288-4425 loc. 101,
05 - Bicol Region,Central Bicol State University of Agriculture-Main,SUC Main,Camarines Sur,Pili,web@cbsua.edu.ph,(054) 475-6699; (054) 477-3341; (054) 475-6699 loc 101,
05 - Bicol Region,Caramoan Community College,LUC,Camarines Sur,Caramoan,,0910-9394759; 0939-8053929,
05 - Bicol Region,Cataingan Municipal College,LUC,Masbate,Cataingan,,0910-6362805,
05 - Bicol Region,Catanduanes State University-Panganiban,SUC Satellite,Catanduanes,Panganiban,http://www.csc.edu.ph,,
05 - Bicol Region,Catanduanes Colleges,Private,Catanduanes,Virac,,0939-2301380,
05 - Bicol Region,Catanduanes State University-Main,SUC Main,Catanduanes,Virac,http://www.catanduanesstateu.edu.ph,(052) 811-3134; 0927-2413065; 0998-5507467,
05 - Bicol Region,Ceguera Technological Colleges,Private,Camarines Sur,Iriga City,,(054) 299-2224; (054) 299-6262,
05 - Bicol Region,St. Louise De Marillac College of Sorsogon,Private,Sorsogon,Sorsogon City,http://www.slmcs.dcphilippines.org,(056) 421-5556,
05 - Bicol Region,Universidad de Sta. Isabel,Private,Camarines Sur,Naga City,http://www.usi.edu.ph,(054) 473-8417; (054) 472-2871; (054) 472-1631,
05 - Bicol Region,Computer Arts and Technological College,Private,Albay,Legazpi City,,(052) 480-1645; (052) 742-2500,
05 - Bicol Region,Computer Communication Development Institute-Naga,Private,Camarines Sur,Naga City,http://www.ccdi-college.net,(054) 881-7990,
05 - Bicol Region,Daniel B. Peña Memorial College Foundation,Private,Albay,Tabaco City,http://www.dbpmcf.edu.ph,(052) 487-5671; (052) 830-3003,
05 - Bicol Region,Divine Word College of Legazpi,Private,Albay,Legazpi City,http://www.dwc-legazpi.edu,(052) 480-1239; (052) 480-2148; (052) 820-0524; (052) 480-3925,
05 - Bicol Region,Dr. Emilio B. Espinosa Sr. Memorial State College of Agriculture and Technology,SUC Main,Masbate,Mandaon,http://www.debesmscat.edu.ph,(056) 583-0218,
05 - Bicol Region,Felix O. Alfelor Sr. Foundation College,Private,Camarines Sur,Sipocot,,(054) 450-6578,
05 - Bicol Region,Alfelor Sr. Memorial College,Private,Camarines Sur,Del Gallego,,(054) 238-4958; 0998-5765128; 0917-5901671,
05 - Bicol Region,Fatima School of Science and Technology,Private,Camarines Sur,Goa,,(054) 453-0297; 0999-3085000,
05 - Bicol Region,Holy Rosary Major Seminary,Private,Camarines Sur,Naga City,http://www.holyrosarymajorsem.ph,(054) 475-6294; (054) 475-7155,
05 - Bicol Region,Holy Trinity College of Camarines Sur,Private,Camarines Sur,Bato,,(054) 277-4296,
05 - Bicol Region,Immaculate Conception College-Albay,Private,Albay,Daraga,http://www.icca-bbfi@yahoo.com,(052) 431-0347; (052) 483 5885,
05 - Bicol Region,La Consolacion College-Iriga City,Private,Camarines Sur,Iriga City,http://www.lcci.edu.ph,(054) 299-2340; (054) 299-7077,
05 - Bicol Region,La Consolacion College-Daet,Private,Camarines Norte,Daet,,(054) 440-2002; (054) 571-2237; (054) 571-3467,
05 - Bicol Region,Liceo de Masbate,Private,Masbate,Masbate City,http://www.dioceseofmasbate/liceodemasbate.com,(056) 333-2276; 0921-7764987,
05 - Bicol Region,Liceo de San Jacinto Foundation,Private,Masbate,San Jacinto,,0920-2523078,
05 - Bicol Region,Ligao Community College,LUC,Albay,Ligao City,,(052) 202-0634,
05 - Bicol Region,Mabini Colleges,Private,Camarines Norte,Daet,http://www.mabinicollege.edu.ph,(054) 721-5733; (054) 721-1281,
05 - Bicol Region,Mariners' Polytechnic Colleges Foundation of Canaman,Private,Camarines Sur,Canaman,http://www.marinerscanaman.edu.ph,(054) 473-9726; (054) 811-7300,
05 - Bicol Region,Mariners' Polytechnic Colleges Foundation of Naga City,Private,Camarines Sur,Naga City,http://www.mariners.edu.ph,(054) 473-1434; (054) 473-5280,
05 - Bicol Region,Mariners' Polytechnic Colleges Foundation of Legazpi City,Private,Albay,Legazpi City,http://www.marinerslegazpi.edu.ph,(052) 482-0997; (052) 480-1019; (052) 482-0166,
05 - Bicol Region,Masbate Colleges,Private,Masbate,Masbate City,http://www.members.cats.edu.ph/_mas_col,(056) 333-2103; (056) 333-5717,
05 - Bicol Region,Mater Salutis College Seminary,Private,Albay,Daraga,,(052) 483-3745,
05 - Bicol Region,Naga College Foundation,Private,Camarines Sur,Naga City,http://www.ncf.edu.ph,(054) 472-7525 to 29; (054) 472-7531; (054) 472-4011,
05 - Bicol Region,Osmeña Colleges,Private,Masbate,Masbate City,,(056) 333-2778; (056) 333-4444,
05 - Bicol Region,Our Lady of Lourdes College Foundation,Private,Camarines Norte,Daet,http://www.ollcf.org,(054) 440-0578; (054) 440-1697,
05 - Bicol Region,Our Lady of Peñafrancia Seminary,Private,Sorsogon,Sorsogon City,,0921-2498289,
05 - Bicol Region,Partido College,Private,Camarines Sur,Goa,,(054) 453- 0278; (054) 453-2110; (054) 456-0673,
05 - Bicol Region,Partido State University-Main,SUC Main,Camarines Sur,Goa,http://www.parsu.edu.ph,(054) 884-9977; 0977-2785045; 0949-9872405; 0917-3164720,
05 - Bicol Region,Perpetual Help Paramedical School,Private,Albay,Tabaco City,,(052) 487-5819,
05 - Bicol Region,Pili Capital College,Private,Camarines Sur,Pili,,(054) 205-8485; 0939-9065518,
05 - Bicol Region,Polangui Community College,LUC,Albay,Polangui,,0917-1522170; 0927-5418074,
05 - Bicol Region,Polytechnic Institute of Tabaco,Private,Albay,Tabaco City,,(052) 732-7602,
05 - Bicol Region,Naga View Adventist College,Private,Camarines Sur,Naga City,http://www.nagaviewcollege.com,0999-8802285; 0919-9943863; 0917-5438151,
05 - Bicol Region,R.G. de Castro Colleges,Private,Sorsogon,Bulan,,(056) 555-2504,
05 - Bicol Region,Republic Colleges of Guinobatan,Private,Albay,Guinobatan,,0946-419-3153,
05 - Bicol Region,San Jose Community College,LUC,Albay,Malilipot,,(052) 558-1209,
05 - Bicol Region,Bicol University-Polangui Campus,SUC Satellite,Albay,Polangui,http://www.geocolities.com/bicol_u_ph,(052) 486-1220,
05 - Bicol Region,Sorsogon State University-Main,SUC Main,Sorsogon,Sorsogon City,http://www.sorsogonstatecollege.edu.ph,(056) 211-0200; (056) 211-0178,
05 - Bicol Region,Southern Bicol Colleges,Private,Masbate,Masbate City,,(056) 333-2794,
05 - Bicol Region,Southern Luzon Institute,Private,Sorsogon,Bulan,,0908-1087911; 0917-8167718,
05 - Bicol Region,Southern Masbate Roosevelt College,Private,Masbate,Placer,,0920-7706929; 0907-3093615,
05 - Bicol Region,Tabaco College,Private,Albay,Tabaco City,tabacocollege.net,(052) 487-5443,
05 - Bicol Region,Tanchuling College,Private,Albay,Legazpi City,http://www.tanchuling.edu.ph,(052) 480-6106; 480-2513; 742-0098; 480-6545,
05 - Bicol Region,University of Northeastern Philippines,Private,Camarines Sur,Iriga City,http://www.unep.edu.ph,(054) 456-0807; (054) 456-0294; (054) 299-2698,
05 - Bicol Region,University of Nueva Caceres,Private,Camarines Sur,Naga City,http://www.unc.edu.ph,(054) 472-6100 loc. 109; (054) 473-7881,
05 - Bicol Region,University of Saint Anthony,Private,Camarines Sur,Iriga City,http://www.usant.edu.ph,(054) 299-2403; (054) 299-2401,
05 - Bicol Region,Veritas College of Irosin,Private,Sorsogon,Irosin,,(056) 557-3249; 0919-4034111,
05 - Bicol Region,Worldtech Resources Foundation-Naga City,Private,Camarines Sur,Naga City,http://www.wricolleges,(054) 472-8733,
05 - Bicol Region,Worldtech Resources Foundation-Iriga City,Private,Camarines Sur,Iriga City,http://www.wricolleges.com,(054) 871-3765; (054) 472-8733,
05 - Bicol Region,Camarines Norte State College-Labo Campus,SUC Satellite,Camarines Norte,Labo,cnsc.educ.gov.ph,0998-5470483; 0918-6148033,
05 - Bicol Region,Camarines Norte State College-Mercedes Campus,SUC Satellite,Camarines Norte,Mercedes,cnsc.educ.gov.ph,,
05 - Bicol Region,Camarines Norte State College-Panganiban Campus,SUC Satellite,Camarines Norte,Jose Panganiban,http://www.cnsc.edu.ph,(054)731-1817; (054) 721-4545,
05 - Bicol Region,Central Bicol State University of Agriculture-Calabanga,SUC Satellite,Camarines Sur,Calabanga,,(054) 881-3258,
05 - Bicol Region,STI College-Legazpi,Private,Albay,Legazpi City,http://www.sti.edu,(052) 480-4877; (052) 480-3098,
05 - Bicol Region,Partido State University-Sagñay Campus,SUC Satellite,Camarines Sur,Sagnay,http://www.parsu.edu.ph,0927-4378008; (054) 453-1811,
05 - Bicol Region,Lower Isarog Foundation Exponent,Private,Camarines Sur,Tigaon,,0909-6735973; 0921-4443193; 0956-1780553; (02)842-9898,
05 - Bicol Region,Partido State University-San Jose Campus,SUC Satellite,Camarines Sur,San Jose,http://www.parsu.edu.ph,0928-3905278; (054) 453-1811,
05 - Bicol Region,Sorsogon State University-Bulan Campus,SUC Satellite,Sorsogon,Bulan,http://www.sorsogonstatecollege.edu.ph,,
05 - Bicol Region,Sorsogon State University-Magallanes Campus,SUC Satellite,Sorsogon,Magallanes,http://www.sorsogonstatecollege.edu.ph,0998-5495697,
05 - Bicol Region,Sorsogon State University-Castilla Campus,SUC Satellite,Sorsogon,Castilla,http://www.sorsogonstatecollege.edu.ph,0915-4197522,
05 - Bicol Region,Speed Computer College,Private,Sorsogon,Sorsogon City,http://www.speedsorsogon.com,(056) 255-0479,
05 - Bicol Region,Partido State University-Tinambac Campus,SUC Satellite,Camarines Sur,Tinambac,http://www.parsu.edu.ph,0949-7809367; (054) 453-1811,
05 - Bicol Region,Tiwi Community College,LUC,Albay,Tiwi,,(052) 488-5071,
05 - Bicol Region,Zamora Memorial College,Private,Albay,Bacacay,,0915-3614409,
05 - Bicol Region,Colegio De Sta. Monica of Polangui,Private,Albay,Polangui,,(052) 486-2245,
05 - Bicol Region,Computer Communication Development Institute-Legazpi City,Private,Albay,Legazpi City,http://www.ccdilegazpi.com,(052) 742-1570; (052) 435-4365,
05 - Bicol Region,Rapu-Rapu Community College,LUC,Albay,Rapu-Rapu,,0917-1035665; 0919-2222810,
05 - Bicol Region,Sorsogon College of Criminology,Private,Sorsogon,Sorsogon City,,(056) 211-0017; (056) 421-5417,
05 - Bicol Region,St. Peter Baptist College Foundation,Private,Camarines Sur,Lupi,,(054) 811-1037; 0917-7920570,
05 - Bicol Region,AMA Computer College-Legazpi City,Private,Albay,Legazpi City,http://www.amaes.edu.ph,(052) 480-6788; (052) 480-6998,
05 - Bicol Region,Dr. Carlos S. Lanting College-Dr. Ruby Lanting Casaul Educational Foundation,Private,Albay,Tabaco City,,(052) 203-0244,
05 - Bicol Region,PLT College of Guinobatan,Private,Albay,Guinobatan,http://www.pltcollege.com,(052) 484-6250,
05 - Bicol Region,Holy Trinity College Seminary,Private,Camarines Norte,Labo,,09088-696255; 0917-7791755,
05 - Bicol Region,AMA Computer College-Naga City,Private,Camarines Sur,Naga City,http://www.amaes.edu.ph,(054) 473-0145,
05 - Bicol Region,Camarines Norte School of Law Arts and Sciences,Private,Camarines Norte,Talisay,,(054) 445-1256,
05 - Bicol Region,Solis Institute of Technology,Private,Sorsogon,Bulan,http://www.sit-bula@wixsite.com,(056) 555-2642,
05 - Bicol Region,The Lewis College,Private,Sorsogon,Sorsogon City,http://www.thelewiscollege.edu.ph,(056) 421-5806; (056) 211-3446,
05 - Bicol Region,West Coast College,Private,Albay,Pioduran,,09175-256880; 0917-111451,
05 - Bicol Region,Oas Community College,LUC,Albay,Oas,,O926-2852004,
05 - Bicol Region,Libon Community College,LUC,Albay,Libon,,0917-6249625,
05 - Bicol Region,Sta. Elena (Camarines Norte) College,Private,Camarines Norte,Sta. Elena,,(054) 885-0700; (054) 885-0764,
05 - Bicol Region,Baao Community College,LUC,Camarines Sur,Baao,,(054) 455-7015,
05 - Bicol Region,Brentwood College of Asia International School,Private,Camarines Sur,Naga City,https://brentwoodinternationalschool.page4.me,(054) 472-6345,
05 - Bicol Region,Partido State University-Salogon Campus,SUC Satellite,Camarines Sur,San Jose,http://www.parsu.edu.ph,0998-2302042; (054) 453-1811,
05 - Bicol Region,Partido State University-Caramoan Campus,SUC Satellite,Camarines Sur,Caramoan,http://www.parsu.edu.ph,0918-5224883; (054) 453-1811,
05 - Bicol Region,Partido State University-Lagonoy Campus,SUC Satellite,Camarines Sur,Lagonoy,http://www.parsu.edu.ph,0939-9264033; (054) 453-1811; (054) 453-7248,
05 - Bicol Region,Calabanga Community College,LUC,Camarines Sur,Calabanga,,(054) 881-9410,
05 - Bicol Region,Capalonga College,Private,Camarines Norte,Capalonga,,0915-3746932; 0917-9689529,
05 - Bicol Region,Southern Luzon Technological College Foundation-Legazpi,Private,Albay,Legazpi City,,(052) 742-1829,
05 - Bicol Region,Our Lady of Salvation College,Private,Albay,Tiwi,,(052) 488-5185; 0917-140-5546; 0927-790-7030; 0917-553-1769; 0936-856-8559,
05 - Bicol Region,Daraga Community College,LUC,Albay,Daraga,,(052) 742-6199,
05 - Bicol Region,Aeronautical Academy of the Philippines,Private,Camarines Sur,Canaman,,(054) 472-9866; 0912-7376304; 0975-1784894,
05 - Bicol Region,Computer Communication Development Institute-Sorsogon,Private,Sorsogon,Sorsogon City,ccdi-sorsogon.net,(056) 421-5575; (056) 255-0759,
05 - Bicol Region,Amando Cope College,Private,Albay,Tabaco City,,(052) 487-4455; (052) 487-5282,
